session,480_401
rel_ts_us,len
0,1292
54,1292
136,121
348,1014
5164,-1292
5164,-1292
5164,-102
5486,120
5567,73
9112,-70
9112,-438
9112,-1288
9112,-1292
9112,-1288
9112,-1287
9112,-1292
9112,-1292
9112,-488
9112,-1287
9112,-1292
9112,-1292
9112,-488
9112,-1287
9112,-1292
9112,-1292
9112,-488
9112,-1287
9112,-1292
9112,-1292
9112,-498
9112,-1285
9112,-1292
9112,-1292
9112,-498
9112,-1285
9112,-1292
9112,-1292
9112,-498
9112,-1285
9112,-1292
9112,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-494
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9312,-498
9312,-1285
9312,-1292
9312,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9496,-498
9496,-1285
9496,-1292
9496,-1292
9643,77
9695,73
9691,-498
9691,-1285
9691,-1292
9691,-1292
9691,-498
9691,-1285
9691,-1292
9691,-1292
9691,-498
9691,-1285
9691,-1292
9715,73
9732,73
9751,73
9773,73
9789,73
9806,73
9824,73
9844,77
9859,77
9873,77
9887,77
9908,77
10079,77
10108,77
10125,77
10143,77
10157,77
10172,77
10190,82
10210,77
10226,76
10243,76
10258,76
10273,76
10288,76
10303,76
10319,76
10339,76
10353,76
10368,76
10382,76
10396,76
10412,76
10428,76
10442,76
10461,76
10477,76
10491,76
10507,81
10522,76
10537,76
10552,76
10567,76
10586,77
10813,77
10879,77
10948,-1292
10948,-1292
10983,77
11009,77
11024,77
11037,77
11049,77
11064,77
11076,77
11089,77
11102,77
11116,77
11131,78
11145,78
11162,83
11177,78
11192,79
11206,79
11220,79
11234,79
11247,79
11260,79
11273,79
11350,79
11401,79
11419,79
11433,79
11446,79
11459,79
11472,79
11484,79
11496,79
11511,79
11694,79
11746,84
11789,79
11803,79
11818,79
11833,79
11848,79
11863,77
12933,-68
12933,-1292
12933,-1292
12933,-1292
12933,-1292
12933,-1292
12933,-1292
12933,-1292
12933,-1292
13164,76
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
13989,-1292
14165,76
14878,-1292
14878,-1292
14878,-1292
14878,-1292
14878,-1292
14878,-1292
14878,-68
14878,-1292
14878,-1292
14878,-1292
14878,-1292
14878,-1292
14878,-1292
15006,76
16108,-1292
16108,-1292
16108,-1292
16108,-1292
16208,75
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17228,-1292
17339,-1292
17339,-1292
17339,-1292
17376,74
17444,74
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17591,-1292
17791,75
17849,75
17887,75
18050,-1292
18050,-1292
18050,-1292
18050,-1292
18050,-1292
18050,-1292
18050,-1292
18050,-1232
18143,75
19478,76
20909,134
25211,-71
25211,-143
25211,-1288
25211,-1292
25211,-1286
25211,-1287
25211,-1292
25211,-1292
25211,-488
25211,-1287
25211,-1292
25211,-1292
25211,-488
25211,-1287
25211,-1292
25211,-1292
25211,-488
25211,-1287
25211,-1292
25211,-1292
25211,-494
25211,-1285
25211,-1292
25211,-1292
25211,-498
25211,-1285
25211,-1292
25211,-1292
25211,-498
25211,-1285
25211,-1292
25211,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25448,-498
25448,-1285
25448,-1292
25448,-1292
25567,78
25616,-498
25616,-1285
25616,-1292
25616,-1292
25616,-498
25616,-1285
25616,-1292
25616,-1292
25616,-498
25642,74
25690,74
25683,-1285
25683,-1292
25683,-1292
25683,-498
25683,-1285
25782,-1292
25782,-1292
25782,-498
25782,-1285
25782,-1292
25782,-1292
25782,-498
25782,-1285
25782,-1292
25782,-1292
25782,-498
25782,-1285
25782,-1292
25782,-1292
25782,-498
25782,-1285
25782,-1292
25782,-1292
25782,-498
25814,74
25865,74
25916,74
25956,-1285
25956,-1292
25956,-1292
25956,-498
25956,-1285
25956,-1292
25956,-1292
25956,-498
25956,-1285
25956,-1292
25956,-1292
25956,-498
25973,75
25956,-1285
25956,-1292
26017,75
26064,75
26131,-1292
26758,75
26827,75
28142,-498
28142,-1285
28142,-1292
28142,-1292
28142,-498
28142,-1285
28142,-1292
28142,-1292
28142,-498
28142,-1285
28142,-1292
28142,-1292
28142,-498
28142,-1285
28142,-1292
28142,-1292
28142,-498
28142,-1285
28142,-1292
28142,-1292
28142,-498
28142,-1285
28323,75
28388,75
28546,75
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30297,-1292
30469,75
30528,75
30569,75
30657,-1292
30657,-1292
30657,-1292
30657,-1292
30657,-1292
30657,-1292
30657,-1292
30657,-793
30749,75
31899,76
32344,-147
32961,138
35483,-71
36602,-143
36602,-1288
36602,-1292
36602,-1286
36602,-1287
36602,-1292
36602,-1292
36602,-488
36602,-1287
36602,-1292
36602,-1292
36602,-488
36602,-1287
36602,-1292
36602,-1292
36602,-488
36602,-1287
36602,-1292
36602,-1292
36602,-494
36602,-1285
36602,-1292
36602,-1292
36602,-498
36602,-1285
36602,-1292
36602,-1292
36602,-498
36602,-1285
36602,-1292
36602,-1292
36602,-498
36778,-1285
36778,-1292
36778,-1292
36778,-498
36778,-1285
36778,-1292
36778,-1292
36778,-498
36778,-1285
36839,78
36902,74
36940,74
37021,74
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37137,74
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37097,-1292
37097,-1292
37097,-498
37097,-1285
37304,-1292
37304,-1292
37304,-498
37304,-1285
37304,-1292
37304,-1292
37304,-498
37304,-1285
37406,-1292
37406,-1292
37406,-498
37406,-1285
37406,-1292
37406,-1292
37406,-498
37406,-1285
37406,-1292
37406,-1292
37406,-498
37406,-1285
37406,-1292
37406,-1292
37406,-498
37406,-1285
37406,-1292
37437,74
37406,-1292
37406,-498
37406,-1285
37406,-1292
37406,-1292
37406,-498
37406,-1285
37406,-1292
37406,-1292
37490,74
37530,75
37636,75
37675,75
37716,75
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1285
40925,-1292
40925,-1292
40925,-498
40925,-1196
41223,75
41303,75
41341,75
41778,-67
42816,75
44507,131
48930,-71
48930,-142
48930,-1288
48930,-1292
48930,-1287
48930,-1287
48930,-1292
48930,-1292
48930,-488
48930,-1287
48930,-1292
48930,-1292
48930,-488
48930,-1287
48930,-1292
48930,-1292
48930,-488
48930,-1287
48930,-1292
48930,-1292
48930,-494
48930,-1285
48930,-1292
48930,-1292
48930,-498
48930,-1285
48930,-1292
48930,-1292
48930,-498
48930,-1285
48930,-1292
48930,-1292
49189,-498
49189,-1285
49189,-1292
49189,-1292
49189,-498
49189,-1285
49189,-1292
49189,-1292
49189,-498
49189,-1285
49189,-1292
49189,-1292
49189,-498
49189,-1285
49189,-1292
49189,-1292
49345,-498
50407,-1285
50407,-1292
50407,-1292
50407,-498
50407,-1285
50407,-1292
50407,-1292
50407,-498
50407,-1285
50407,-1292
50407,-1292
50407,-498
50407,-1285
50407,-1292
50407,-289
50462,78
50545,74
50583,74
51864,74
52042,74
52148,74
52234,75
55849,-67
165801,131
168947,-71
170784,-143
170784,-1288
170784,-1292
170784,-1286
170784,-1287
170784,-1292
170784,-1292
170784,-488
170784,-1287
170784,-1292
170784,-1292
170784,-488
170784,-1287
170784,-1292
170784,-1292
170784,-488
170784,-1287
170784,-1292
170784,-1292
170784,-494
170784,-1285
170784,-1292
170784,-1292
170784,-498
170784,-1285
170784,-1292
170784,-1292
170784,-498
170784,-1285
170784,-1292
170784,-1292
170784,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171087,-1285
171087,-1292
171087,-1292
171087,-498
171258,78
171343,-1285
171343,-1292
171343,-1292
171343,-498
171343,-1285
171343,-1292
171343,-1292
171343,-498
171343,-1285
171343,-1292
171343,-1292
171343,-498
171343,-1285
171343,-1292
171343,-1292
171343,-498
171343,-1285
171343,-1292
171343,-1292
171343,-498
171343,-1285
171343,-1292
171343,-1292
171343,-498
171441,74
171580,74
171607,-1285
171607,-1292
171607,-1292
171607,-498
171607,-1285
171607,-1292
171607,-1292
171607,-498
171607,-1285
171607,-1292
171607,-1292
171607,-498
171607,-1285
171607,-1292
171607,-1292
171607,-498
171607,-1285
171607,-1292
171607,-1292
171607,-498
171607,-1285
171607,-1292
171607,-1292
171607,-498
171707,74
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171911,-1285
171911,-1292
171911,-1292
171911,-498
171976,74
172109,-1285
172109,-1292
172109,-1292
172109,-498
172109,-1285
172109,-1292
172109,-1292
172109,-498
172109,-1285
172109,-1292
172109,-1292
172109,-498
172109,-1285
172109,-1292
172109,-1292
172136,74
172342,74
172652,75
172705,75
172743,75
172851,75
172894,75
172942,75
172982,75
173452,75
173530,75
176897,-1292
176897,-1292
176897,-1292
176897,-1292
176897,-1292
176897,-1292
176897,-1292
176897,-1292
176897,-467
177180,75
178342,76
5423305,198
5427517,-71
5427517,-168
5427517,-1288
5427517,-1292
5427517,-1286
