session,480_1
rel_ts_us,len
0,66
1444,-66
1477,54
1779,1835
3208,-60
3562,-1494
3562,-1494
3562,-1494
3580,54
4908,-596
4923,54
6332,118
6503,1205
8163,-60
8209,-233
13331,-1494
13331,-1494
13331,-1494
13331,-1494
13361,54
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-620
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-1494
13474,-620
13515,54
13690,-1494
13690,-1494
13690,-1494
13690,-1494
13702,54
14883,-1494
14883,-1494
14906,54
14925,-1494
14925,-1494
14925,-1494
14925,-1494
14925,-1494
14925,-1494
14925,-1494
14925,-1494
14945,54
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15022,-1494
15053,54
15247,-1494
15247,-1494
15247,-1494
15247,-1494
15247,-1494
15247,-1494
15247,-1494
15247,-1494
15269,54
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-1494
15286,-534
15312,54
15635,-1494
15635,-1494
15635,-1014
15657,54
15679,-1494
15679,-534
15686,54
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1494
16485,-1014
16526,54
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16653,-1494
16687,54
17002,-1494
17017,54
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17054,-1494
17084,54
17367,-1494
17367,-1494
17367,-1494
17367,-1494
